trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.75, 'e': 4.0}",20,0,-123.26014893320655,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
119,False,"{'a': 0.75, 'e': 4.0}",20,0,-132.5392595684963,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
120,False,"{'a': 0.75, 'e': 4.0}",35,0,-221.51462618818687,"{0: 17, 1: 4, 2: 10, 3: 2, 4: 2}",0
121,False,"{'a': 0.75, 'e': 4.0}",20,0,-42.069893849866176,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.75, 'e': 4.0}",25,5,-119.19703677055946,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",1
123,False,"{'a': 0.75, 'e': 4.0}",20,0,-161.07286426012243,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
124,False,"{'a': 0.75, 'e': 4.0}",20,0,-81.48995859401165,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.75, 'e': 4.0}",20,1,-42.65584327983626,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
126,False,"{'a': 0.75, 'e': 4.0}",35,0,-230.39577227610852,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
127,False,"{'a': 0.75, 'e': 4.0}",30,0,-148.82299678938602,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
128,False,"{'a': 0.75, 'e': 4.0}",20,0,-79.96071210391804,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
129,False,"{'a': 0.75, 'e': 4.0}",20,0,-77.74818865862183,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
130,False,"{'a': 0.75, 'e': 4.0}",20,0,-147.54727210887657,"{0: 7, 1: 5, 2: 5, 3: 2, 4: 1}",0
131,False,"{'a': 0.75, 'e': 4.0}",25,0,-71.34841386837276,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
132,False,"{'a': 0.75, 'e': 4.0}",35,0,-149.31802659338234,"{0: 19, 1: 6, 2: 6, 3: 4, 4: 0}",1
133,False,"{'a': 0.75, 'e': 4.0}",20,7,-51.816943111624255,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.75, 'e': 4.0}",20,0,-139.13943554822464,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
